Technischer Schlüssel,Schluessel,Prognoseraum,Angebotsmieten,Veränderung d. Anzahl d. Leistungsempf,Anteil Leistungsempfänger,Anteil Sozialwohnungen,Anteil städtische Wohnungsbaugesellschaften,Prozentuale Veränderungen der Einwohnerzahlen,Wohndauer,Wohnungsumwandlungen 2020,Wohnungsumwandlungen 2015 -2020,Wohnungsverkäufe 2020,Wohnungsverkäufe 2015 - 2020
0101,0101,Zentrum,16.17,-1.26,8.13,1.84,16.66,11.30,56.71,15.39,78.40,7.71,48.92
0102,0102,Moabit,14.53,-4.96,16.13,6.69,4.41,6.07,59.13,11.91,87.17,8.43,52.36
0103,0103,Gesundbrunnen,10.24,-5.19,30.60,23.13,19.77,2.86,63.97,6.37,43.92,3.28,25.25
0104,0104,Wedding,9.60,-5.22,23.97,5.88,15.24,1.08,61.66,10.38,68.97,5.29,43.52
0201,0201,Kreuzberg Nord,13.35,-7.40,31.19,26.09,28.67,0.90,68.51,4.99,61.13,1.39,18.20
0202,0202,Kreuzberg Süd,14.41,-3.34,12.55,5.63,4.90,2.41,63.39,25.45,132.08,6.33,48.02
0203,0203,Kreuzberg Ost,12.69,-5.01,19.38,7.39,9.34,-2.31,68.17,16.02,90.74,6.25,42.41
0204,0204,Friedrichshain West,14.63,-1.07,11.32,1.12,37.51,6.09,59.70,6.89,121.06,8.19,56.39
0301,0301,Buch,8.65,-2.53,15.06,0.00,44.80,6.99,63.49,0.00,2.55,0.92,7.40
0302,0302,Nördliches Pankow,10.76,-1.14,5.35,3.21,3.45,5.41,69.00,6.68,30.08,2.59,22.11
0303,0303,Nördliches Weißensee,9.21,0.45,6.55,10.06,4.96,5.97,71.31,6.97,17.16,0.06,0.46
0304,0304,Südliches Pankow,10.51,-2.20,6.89,1.64,20.26,6.01,66.10,16.43,45.55,4.48,29.48
0306,0306,Nördlicher Prenzlauer Berg,10.49,-1.53,8.86,0.63,15.44,3.96,61.30,12.93,84.70,6.94,66.05
0307,0307,Südlicher Prenzlauer Berg,11.26,-1.41,6.28,0.39,12.77,5.21,61.17,29.32,88.38,8.81,59.90
0305,0305,Südliches Weißensee,10.29,-3.00,9.29,1.73,21.09,5.91,63.25,5.62,44.58,2.39,22.29
0401,0401,Charlottenburg-Wilmersdorf 1,7.45,-4.10,22.09,10.92,47.13,1.47,71.33,0.00,8.02,2.26,28.42
0406,0406,Charlottenburg-Wilmersdorf 6,undefined,0.00,0.00,0.00,0.00,-8.82,70.96,0.00,0.00,0.00,0.00
0402,0402,Charlottenburg-Wilmersdorf 2,10.64,0.07,5.67,2.37,3.58,2.68,66.23,2.66,36.17,7.40,66.36
0405,0405,Charlottenburg-Wilmersdorf 5,12.90,-1.62,7.87,3.14,3.93,3.03,65.66,27.59,101.87,10.19,70.40
0502,0502,Spandau 2,8.82,-1.94,18.75,10.45,19.87,3.56,67.09,3.20,15.61,3.23,29.07
0504,0504,Spandau 4,9.89,-0.51,2.49,1.49,1.78,1.31,73.97,0.81,6.76,1.05,8.12
0601,0601,Region A,10.80,-2.74,6.85,2.00,1.39,2.51,67.92,9.90,55.24,9.76,60.48
0702,0702,Schöneberg Süd,13.99,-2.50,11.59,4.04,7.81,3.28,65.18,22.58,84.30,8.79,56.66
0602,0602,Region B,9.29,-2.08,8.61,6.22,9.61,2.82,68.98,11.26,20.78,4.33,31.99
0703,0703,Friedenau,11.29,-2.05,7.44,1.24,1.96,1.36,70.01,25.31,66.97,8.94,69.49
0603,0603,Region C,10.84,-0.36,5.03,3.52,2.48,3.78,68.34,6.72,30.73,5.45,44.53
0604,0604,Region D,11.45,-0.13,2.46,2.47,2.07,2.92,69.69,8.57,22.74,4.65,21.32
0701,0701,Schöneberg Nord,11.21,-2.65,15.34,12.73,18.83,1.84,66.09,11.42,70.37,6.62,48.98
0704,0704,Tempelhof,10.47,-3.38,14.21,2.76,12.69,1.94,66.78,11.76,33.69,5.48,39.08
0707,0707,Lichtenrade,8.34,-0.24,11.95,9.91,15.31,3.85,70.22,5.39,9.61,3.07,22.89
0705,0705,Mariendorf,8.30,-1.31,13.28,8.04,10.09,2.77,68.32,9.14,24.90,3.91,37.21
0706,0706,Marienfelde,8.10,-1.23,17.26,12.72,26.73,1.99,71.06,1.98,4.41,1.73,11.04
0801,0801,Neukölln,11.52,-6.19,24.80,6.73,9.55,-2.02,62.90,14.05,98.74,4.85,41.44
